date, kilograms, pounds
2012-04-09, 83.9, 185.0
2012-04-11, 83.5, 184.0
2012-04-13, 82.6, 182.2
2012-04-24, 82.3, 181.5
2012-04-27, 81.2, 179.1
2012-05-04, 80.5, 177.4
2012-05-11, 79.5, 175.3
2013-01-09, 83.2, 183.5
2013-01-10, 82.2, 181.2
2013-01-11, 81.6, 179.8
2013-01-13, 82.3, 181.5
2013-01-14, 81.2, 179.1
2013-01-16, 82.2, 181.2
2013-01-22, 82.6, 182.2
2013-01-23, 81.7, 180.2
2013-01-25, 80.1, 176.6
2013-01-26, 79.8, 176.0
2013-01-28, 81.2, 179.0
2013-01-29, 81.1, 178.8
2013-01-30, 80.8, 178.2
2013-01-31, 80.4, 177.2
2013-02-01, 79.7, 175.8
2013-02-04, 81.2, 179.0
2013-02-05, 81.0, 178.6
2013-02-06, 80.7, 178.0
2013-02-07, 80.3, 177.0
2013-02-08, 79.5, 175.3
2013-02-09, 78.6, 173.2
2013-02-11, 79.1, 174.4
2013-02-12, 79.6, 175.4
2013-02-13, 78.7, 173.6
2013-02-14, 78.6, 173.2
2013-02-15, 77.7, 171.2
2013-02-16, 77.3, 170.4
2013-02-17, 77.8, 171.5
2013-02-18, 77.7, 171.3
2013-02-19, 78.7, 173.4
2013-02-20, 78.2, 172.5
2013-02-21, 77.7, 171.4
2013-02-22, 77.3, 170.5
2013-02-23, 76.7, 169.2
2013-02-25, 76.7, 169.0
2013-02-26, 77.8, 171.6
2013-02-27, 76.9, 169.6
2013-02-28, 77.5, 170.8
2013-03-01, 75.9, 167.4
2013-03-02, 76.0, 167.6
2013-03-03, 77.2, 170.3
2013-03-04, 75.9, 167.4
2013-03-05, 76.4, 168.5
2013-03-06, 76.4, 168.4
2013-03-07, 75.9, 167.4
2013-03-08, 75.6, 166.6
2013-03-09, 74.9, 165.2
